# setname	status	fps_no_present	driver_file	drc	fallback	title
champbas	OK	67.2	alpha/champbas.cpp	-	mame4all	Champion Base Ball
drtomy	OK	67.0	playmark/drtomy.cpp	-	-	Dr. Tomy
cracksht	OK	66.9	exidy/exidy440.cpp	-	mame4all	Crackshot (version 2.0)
speedrs	OK	66.9	olympia/lbeach.cpp	-	-	Speed Race (Seletron / Olympia)
trckydoc	OK	66.9	tecfri/sauro.cpp	-	mame4all	Tricky Doc (set 1)
spaceint	OK	66.8	stern/astinvad.cpp	-	mame4all	Space Intruder
supduck	OK	66.8	capcom/supduck.cpp	-	-	Super Duck
crzrally	OK	66.7	tecfri/holeland.cpp	-	-	Crazy Rally (set 1)
005	OK	66.6	sega/segag80r.cpp	-	mame4all	005
megatack	OK	66.6	alliedleisure/killcom.cpp	-	mame4all	Megatack (set 1)
ponttehk	OK	66.6	tecmo/lvcards.cpp	-	-	Pontoon (Tehkan)
ggoemon	OK	66.5	konami/konmedal68k.cpp	-	-	Ganbare Goemon
pacman	OK	66.5	(not a subset parent)	-	-	
logicpr2	OK	66.3	sega/deniam.cpp	-	mame4all	Logic Pro 2 (Japan)
sheriff	OK	66.2	nintendo/n8080.cpp	-	mame4all	Sheriff
attckufo	OK	66.1	misc/attckufo.cpp	-	-	Attack UFO
mgdh	OK	66.1	igs/igs017.cpp	-	-	Manguan Daheng (Taiwan, V125T1)
strker	OK	66.1	misc/4enraya.cpp	-	-	Striker
3x3puzzl	OK	66.0	promat/3x3puzzl.cpp	-	-	3X3 Puzzle (Enterprise)
dblpoint	OK	65.5	misc/gumbo.cpp	-	-	Double Point
firebatl	OK	65.5	nichibutsu/clshroad.cpp	-	-	Fire Battle
rcirulet	OK	65.5	misc/corona.cpp	-	-	Ruleta RCI (6-players, Spanish)
sslam	OK	65.5	playmark/sslam.cpp	-	-	Super Slam (set 1)
yumefuda	OK	65.5	seta/albazg.cpp	-	-	Yumefuda
musclem	OK	65.2	misc/musclem.cpp	-	-	Muscle Master
hyhoo2	OK	65.1	nichibutsu/hyhoo.cpp	-	-	Hayaoshi Taisen Quiz Hyhoo 2 (Japan)
phklad	OK	65.0	misc/photon.cpp	-	-	Klad / Labyrinth (Photon System)
fspiderb	OK	64.7	taito/jollyjgr.cpp	-	-	Frog & Spiders (bootleg?)
legrandc	OK	64.6	misc/corona.cpp	-	-	Le Grandchamps
challeng	OK	64.2	alliedleisure/killcom.cpp	-	mame4all	Challenger
pktgaldx	OK	63.9	dataeast/pktgaldx.cpp	-	-	Pocket Gal Deluxe (Europe v3.00)
drgnbstr	OK	63.8	namco/skykid.cpp	-	mame4all	Dragon Buster
bowlgum	OK	63.6	misc/4enraya.cpp	-	-	Bowling Gum
black	OK	63.4	misc/photon2.cpp	-	-	Czernyj Korabl (Arcade bootleg of ZX Spectrum 'Blackbeard')
luckyrlt	OK	63.4	misc/corona.cpp	-	-	Lucky Roulette Plus (6-players, Spanish)
